nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
11;0.28;0.00;0.00;0.00;
12;0.79;0.00;0.00;0.00;
13;1.44;0.00;0.00;0.00;
17;52.95;0.12;12.47;9.60;
34;175.24;0.32;32.18;413.80;
65;897.08;0.59;59.25;1089.60;
100;2930.11;0.64;64.08;23214.80;
171;10523.06;1.75;174.57;4809.40;
14;129.45;0.01;1.32;44.00;
29;121.87;0.13;12.97;208.80;
100;3087.80;0.95;94.64;20140.40;
137;7393.65;1.03;103.46;72273.40;
150;8986.98;1.22;122.25;31944.80;
200;24817.69;1.28;127.90;37650.80;
nn: false ; neighbourhood: swap ; tabu list size: 50 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.04;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;3.72;0.06;5.71;6.00;
10;0.32;0.00;0.00;0.00;
11;0.66;0.00;0.00;0.00;
12;11.07;0.02;1.69;3.00;
13;11.21;0.02;1.95;3.40;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.30;0.00;0.00;0.00;
9;0.67;0.00;0.00;0.00;
10;0.25;0.00;0.00;0.00;
11;0.42;0.00;0.00;0.00;
12;0.55;0.00;0.00;0.00;
13;1.27;0.00;0.00;0.00;
17;30.32;0.20;20.26;15.60;
34;110.79;0.32;32.46;417.40;
65;611.72;0.60;59.63;1096.60;
100;11219.84;0.65;65.07;23574.00;
171;8498.53;1.81;181.23;4993.00;
14;14.88;0.01;1.32;44.00;
29;80.91;0.19;19.43;312.80;
100;2137.44;1.08;107.56;22891.20;
137;5703.47;0.97;97.15;67861.40;
150;35773.47;1.14;113.82;29742.00;
200;19423.62;1.28;128.35;37782.20;
nn: false ; neighbourhood: swap ; tabu list size: 50 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.18;0.00;0.00;0.00;
9;0.96;0.00;0.00;0.00;
10;0.27;0.00;0.00;0.00;
11;1.38;0.00;0.00;0.00;
12;28.10;0.01;0.68;1.20;
13;49.88;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.26;0.00;0.00;0.00;
9;0.63;0.00;0.00;0.00;
10;0.16;0.00;0.00;0.00;
11;0.59;0.00;0.00;0.00;
12;0.61;0.00;0.00;0.00;
13;1.36;0.00;0.00;0.00;
17;99.31;0.12;11.69;9.00;
34;423.61;0.32;31.94;410.80;
65;1771.30;0.50;50.18;922.80;
100;5985.65;0.66;65.56;23754.00;
171;18606.17;1.80;180.00;4959.00;
14;48.05;0.01;1.32;44.00;
29;318.39;0.13;13.03;209.80;
100;4771.66;0.88;87.60;18643.60;
137;17825.45;0.84;83.94;58632.80;
150;15722.82;1.16;115.87;30277.60;
200;37868.74;1.39;139.36;41023.00;
nn: false ; neighbourhood: swap ; tabu list size: 50 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.04;0.00;0.00;0.00;
8;0.26;0.00;0.00;0.00;
9;1.90;0.00;0.00;0.00;
10;0.33;0.00;0.00;0.00;
11;3.51;0.00;0.00;0.00;
12;10.17;0.00;0.23;0.40;
13;50.62;0.01;0.69;1.20;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.13;0.00;0.00;0.00;
8;0.32;0.00;0.00;0.00;
9;0.71;0.00;0.00;0.00;
10;0.16;0.00;0.00;0.00;
11;0.46;0.00;0.00;0.00;
12;1.15;0.00;0.00;0.00;
13;0.92;0.00;0.00;0.00;
17;101.00;0.15;15.32;11.80;
34;308.30;0.32;31.96;411.00;
65;2003.26;0.55;54.75;1006.80;
100;8807.62;0.52;52.42;18991.40;
171;21991.44;1.73;172.81;4761.00;
14;44.50;0.01;1.32;44.00;
29;229.02;0.16;16.47;265.20;
100;5230.22;0.84;83.69;17811.60;
137;12044.95;0.95;95.05;66398.00;
150;17408.51;1.10;110.19;28792.40;
200;42849.57;1.37;136.53;40190.60;
nn: false ; neighbourhood: swap ; tabu list size: 100 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;3.51;0.06;5.71;6.00;
10;0.60;0.00;0.00;0.00;
11;2.26;0.00;0.26;0.40;
12;10.70;0.03;3.05;5.40;
13;12.65;0.03;3.33;5.80;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.23;0.00;0.00;0.00;
9;0.66;0.00;0.00;0.00;
10;0.20;0.00;0.00;0.00;
11;0.38;0.00;0.00;0.00;
12;0.42;0.00;0.00;0.00;
13;0.64;0.00;0.00;0.00;
17;25.37;0.27;27.27;21.00;
34;109.52;0.34;34.34;441.60;
65;532.55;0.68;68.02;1250.80;
100;11224.76;0.73;72.64;26316.40;
171;8446.44;1.58;157.71;4345.00;
14;14.64;0.01;1.32;44.00;
29;77.84;0.13;12.81;206.20;
100;2155.50;1.06;106.01;22561.00;
